unique_identifier,Club_Name,Postal_Code,Address,Age,Category,Activity,Website
811,BeatDance,20320,Tammimäenkatu 3,7,Sports,Dance,https://www.beatdancecompany.fi/
394,Tuto Hockey,20700,Sepänkatu 5b,7,Sports,Hocky,https://www.tuto.fi/
753,FBC Turku,20320,Niitunniskantie 18,8,Sports,Basketball,https://www.fbcturku.net/
417,4h,20460,Arkeologinkatu 4,8,Sports,Sports,https://turku.4h.fi/kerhot/jakarlan-4h-kerho/
655,4h,20320,Pirttilähteenkatu 5,7,Handcraft,sewing,https://turku.4h.fi/kerhot/kassakerho-pehmeat-materiaalit/
489,4h,20320,Pirttilähteenkatu 5,10,Handcraft,woodwork,https://turku.4h.fi/kerhot/kassakerho-kovat-materiaalit/
148,4h,20320,Pirttilähteenkatu 5,7,Art,gardener,https://turku.4h.fi/kerhot/sormet-multaan-kerho/
410,4h,20540,Gregorius IX tie 8,7,Art,drawing,https://turku.4h.fi/kerhot/halisten-kuviskerho/
713,4h,20700,Sepänkatu 3,7,Art,photo club,https://turku.4h.fi/kerhot/kuvataidekerho/
891,4h,20320,Pirttilähteenkatu 5,7,Art,manga club,https://turku.4h.fi/kerhot/manga-kuviskerho/
734,4h,20700,Sepänkatu 3,7,Handcraft,culinary,https://turku.4h.fi/kerhot/mArtin-kokkikerho/
462,4h,20750,Maistraatinpolku 1,7,Art,Art,https://turku.4h.fi/kerhot/lausteen-4h-kerho/
403,4h,20320,Pirttilähteenkatu 5,7,Handcraft,culinary,https://turku.4h.fi/kerhot/ruohonpaan-kokkikerho/
843,4h,20540,Gregorius IX tie 8,7,Handcraft,culinary,https://turku.4h.fi/kerhot/halisten-kokkikerho/
332,Turun Parkour Akatemia,20100,Helsinginkatu 21,7,Sports,Parkour,https://parkourakatemia.fi/turku/
228,Aikido Dojo Turku ry,20300,Raunistulantie 15 ,7,Sports,Sports,http://www.turunurheiluliitto.fi/
252,Turun Yamatokai ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
562,Idrottsklubben Academia,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
109,Turun Han Moo Do ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
105,Gladiator Turku Judo-Samboseura ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
391,Shisei ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
235,Turun judoseura ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
640,Karate-do Shotokai,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
518,Kyokushin Karate,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
487,Choy Lee Fut Kung Fu Turku ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
368,Shaolin Kung Fu - Turun Wushu Kungfu Seura ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
646,Tang Lang - Turun Tang Lang Quan,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
740,Gladiator Turku Judo-Samboseura ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
838,Turun Hapkidoseura ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
507,Turun Taekwondo ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
360,Turun Taidoseura ry,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
190,Turun Kontaktikarateseura,20300,Raunistulantie 15,7,Sports,Sports,http://www.tkks.net/
930,Turun Teräs,20300,Raunistulantie 15,7,Sports,Sports,http://www.tute.fi/
503,Turun Urheiluliitto,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
400,Turun Weikot,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunweikot.fi/
655,Turun Toverit,20300,Raunistulantie 15,7,Sports,Sports,http://www.tuto.fi/
671,Turun Voimamiehet,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunvoimamiehet.fi/
778,Turun Atleettiklubi,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
548,Pallo-kotkat,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
986,RC Gold Boys,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
810,Turun Kaiku,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
729,Turun Pallas,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
598,Turun Pyrkivä,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunpyrkiva.fi/
675,Turun Toverit,20300,Raunistulantie 15,7,Sports,Sports,http://www.tuto.fi/
951,Pyrkivä Gymnastics,20300,Raunistulantie 15,7,Sports,Sports,https://www.pyrkivagymnastics.fi/
831,Turun Urheiluliitto,20300,Raunistulantie 15,7,Sports,Sports,http://www.turunurheiluliitto.fi/
901,VIMMA,20100,Aurakatu 16,7,Art,drawing,https://ark-lpr.fi/en/projekti/vimma-turku/
200,GoBabyGo,20810,Hopeasepänkuja 2,7,Sports,Sports,https://liikutaanilosta.fi/
533,FC TPS,20520,Lemminkäisenkatu 14-18 B,7,Sports,Football,https://fc.tps.fi/juniorit/
558,HC TPS,20210,Artukaistentie 8,7,Sports,Hocky,https://www.tps-juniorit.net/
733,Inter Aciton,20740,Lauklähteenkatu 13,7,Sports,Football,https://fcinter.fi/interaction/ilpoisten-perhetapahtumat/
933,Tehoharjoittelu,20700,Turku Energia Areena,7,Sports,Sports,https://fcinter.fi/juniorit/tehoharjoittelu/
242,Vimma Art and Activity Centre for Youth,20100,Aurakatu 16,7,Handcraft,Handmade,https://www.turku.fi/vimma/
